	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-30d-3p	27	13	87	69	37	14	45
hsa-miR-3679-5p	26	4	28	56	37	38	86
hsa-miR-582-3p	26	10	49	39	15	13	57
hsa-miR-210-5p	26	0	5	5	18	2	4
hsa-miR-30c-1-3p	26	24	39	196	54	84	119
hsa-miR-222-5p	25	1	14	13	9	6	17
hsa-miR-29a-5p	25	4	16	10	70	20	0
hsa-miR-337-5p	25	16	58	82	112	68	52
hsa-miR-454-5p	25	13	45	38	123	64	61
hsa-miR-181c-3p	25	15	29	79	74	39.5	104.5
hsa-miR-548s	24	5	6	9	16	2	16
hsa-miR-2276-3p	24	4	18	17	6	7	18
hsa-miR-378c	24	0	25	26	42	2	14
hsa-miR-1343-3p	24	5	17	47	12	14	31
hsa-miR-744-3p	24	10	49	96	34	56	63
hsa-miR-370-5p	24	33	107	289	154	159	281
hsa-miR-3940-3p	24	1	2	0	11	1	17
hsa-miR-378g	23.5	0.5	7.5	11.5	25	7	12.5
hsa-miR-5001-3p	23	3	3	11	11	1	11
hsa-miR-181b-2-3p	23	3	18	37	21	19	16
hsa-miR-642a-5p	23	0	2	6	4	0	3
hsa-miR-217	23	55	135	799	354	275	329
hsa-miR-548ad-5p|hsa-miR-548ae-5p|hsa-miR-548ay-5p	23	2	0	3	4	7	0
hsa-miR-3127-3p	23	0	5	0	7	0	0
hsa-miR-5010-5p	22	3	10	48	12	12	54
hsa-miR-20a-3p	22	6	43	46	18	22	26
hsa-miR-6815-5p	22	1	8	8	27	3	2
hsa-miR-377-5p	22	23	74	183	74	83	259
hsa-miR-31-5p	22	14	105	200	71	120	126
hsa-miR-4683	22	1	16	5	3	9	1
hsa-miR-937-3p	22	3	8	27	17	27	40
hsa-miR-1228-3p	22	0	8	10	0	3	5
hsa-mir-151b	21.5	0.5	41	55	3	12	11.5
hsa-miR-374c-5p	21.5	5.5	21.5	17.5	45.5	19.5	23.5
hsa-miR-26a-1-3p	21	23	91	42	174	63	124
hsa-miR-3913-3p	21	0	0	11	0	3	0
hsa-miR-3688-3p	21	0	5	0	9	5	3
hsa-miR-584-3p	21	0	1	2	13	0	0
hsa-miR-6513-3p	21	5	6	18	6	6	8
hsa-mir-320b-1	20.8	6.45	22.05	10.25	15.6	11.6	23.4
hsa-mir-320a	20.8	6.2	17.7666666666667	15.55	16.6	12.6	20.65
hsa-mir-320b-2	20.8	4.78333333333333	21.55	12	15.6	13.6	23.65
hsa-miR-133b	20.5	0	6.5	30.5	151.5	4	9.5
hsa-miR-7976	20	1	7	11	48	4	0
hsa-miR-450a-1-3p	20	10	23	21	14	22	25
hsa-miR-585-5p	20	2	1	0	8	0	3
hsa-miR-6514-5p	20	5	11	20	19	8	23
hsa-miR-616-5p	20	12	11	31	27	24	23
hsa-miR-2355-3p	20	15	91	103	59	57	90
hsa-miR-4659a-3p	19	0	3	14	9	2	7
hsa-miR-1273h-3p	19	0	4	22	0	6	5
hsa-miR-1255b-5p	19	1	7	2	19	1	15
hsa-miR-7846-3p	19	0	2	4	2	0	0
hsa-miR-4781-3p	19	0	14	5	14	7	36
hsa-miR-506-3p	19	3	3	2	4	1	19
hsa-miR-3173-3p	18	0	7	16	14	10	4
hsa-miR-3173-5p	18	11	27	88	63	64	60
hsa-miR-6866-5p	18	1	12	13	11	2	13
hsa-miR-4728-3p	18	1	13	9	5	3	21
hsa-miR-7706	18	21	82	125	154	83	143
hsa-miR-188-5p	18	3	2	4	0	7	3
hsa-miR-6511a-5p|hsa-miR-6511b-5p	17	1	7	31	28	6	41
hsa-miR-675-5p	17	7	6	75	24	7	13
hsa-miR-6761-5p	17	0	4	13	6	2	0
hsa-miR-6827-3p	17	5	1	8	0	4	6
hsa-miR-3617-3p	17	0	0	0	10	0	0
hsa-miR-675-3p	17	1	15	17	2	12	13
hsa-miR-3202	17	0	5	8	7	0	6
hsa-miR-4738-3p	17	0	3	3	12	5	4
hsa-miR-3129-3p	17	1	20	20	43	4	43
hsa-miR-6511b-5p	17	2	5	6	12	0	32
hsa-miR-5009-3p	17	0	0	0	0	0	0
hsa-miR-330-5p	16	17	69	152	48	44	127
hsa-miR-4774-5p	16	0	0	4	0	0	0
hsa-miR-643	16	5	0	0	28	5	3
hsa-miR-3614-5p	16	3	4	8	7	11	1
hsa-miR-5687	16	0	0	0	0	0	10
hsa-miR-6867-3p	16	0	0	0	0	0	0
hsa-miR-4677-5p	16	2	3	3	10	0	9
hsa-miR-3620-3p	16	0	6	10	13	0	12
hsa-miR-4732-3p	16	0	0	0	15	1	6
hsa-miR-4804-5p	16	5	2	8	43	0	14
hsa-miR-487b-5p	16	29	83	263	122	155	326
hsa-miR-6730-5p	16	0	0	2	0	0	7
hsa-miR-7111-3p	15	0	0	0	0	2	0
hsa-miR-4800-3p	15	0	4	0	0	3	3
hsa-miR-629-3p	15	4	15	13	0	0	12
hsa-miR-579-5p	15	0	4	0	0	0	0
hsa-miR-676-5p	15	0	3	3	6	1	0
hsa-miR-1245a	15	0	0	3	0	0	0
hsa-miR-3613-5p	15	2	18	3	26	7	3
hsa-miR-767-5p	15	11	33	97	72	88	132
hsa-miR-653-3p	15	5	4	25	15	27	29
hsa-miR-6500-3p	15	10	5	62	23	11	31
hsa-miR-380-5p	15	7	33	142	87	53	130
hsa-miR-3074-3p	14	4	1	18	0	14	2
hsa-miR-3130-3p	14	0	3	13	0	4	33
hsa-miR-4677-3p	14	13	55	38	30	18	47
hsa-miR-3622a-3p	14	1	9	16	5	9	6
hsa-miR-1233-3p	14	2	0	3	0	0	0
hsa-let-7g-3p	14	0	17	8	24	3	13
hsa-miR-1276	14	3	2	28	17	10	29
hsa-mir-500a	14	4	14.5	25	12	4.5	6
hsa-miR-885-3p	14	5	4	60	7	4	43
hsa-miR-380-3p	14	10	53	78	20	53	81
hsa-miR-150-3p	14	9	44	21	87	5	33
hsa-miR-592	13	13	43	78	33	26	86
hsa-miR-6774-3p	13	0	9	0	0	2	0
hsa-miR-548ad-5p|hsa-miR-548ae-5p	13	5	4	1	6	11	0
hsa-miR-3065-5p	13	2	17	19	3	23	34
hsa-miR-33b-5p	13	1	3	0	5	0	0
hsa-miR-3152-5p	13	7	20	47	46	19	41
hsa-miR-4524a-3p	13	10	40	32	18	10	20
hsa-miR-371b-5p	13	3	3	7	5	3	7
hsa-miR-16-1-3p	13	1	10	7	0	0	0
hsa-miR-136-5p	13	9	10	11	9	8	10
hsa-miR-615-5p	12	0	3	2	0	1	5
hsa-miR-3612	12	2	18	31	17	15	32
hsa-miR-5009-5p	12	0	0	6	14	0	1
hsa-miR-299-3p	12	8	75	75	71	52	38
hsa-miR-4705	12	0	0	0	0	4	2
hsa-miR-6786-3p	12	1	0	0	0	0	6
hsa-miR-5196-3p	12	1	0	0	0	0	0
hsa-miR-6516-3p	12	4	14	30	15	40	70
hsa-miR-7705	12	3	12	15	13	10	3
hsa-miR-301a-5p	12	1	9	16	8	0	16
hsa-miR-122-5p	12	6	10	14	81	49	68
hsa-miR-1249-3p	12	4	19	64	17	30	36
hsa-miR-6738-5p	12	0	0	0	0	0	0
hsa-miR-548at-5p	12	1	4	3	0	5	0
hsa-miR-378d	11	1.16666666666667	9.33333333333333	16.3333333333333	40.5	1	5.33333333333333
hsa-miR-6852-3p	11	0	0	0	7	2	0
hsa-miR-1285-5p	11	2	0	4	15	12	0
hsa-miR-6833-3p	11	0	0	11	16	5	3
hsa-miR-766-5p	11	3	7	16	0	8	6
hsa-miR-4511	11	0	6	4	3	3	5
hsa-miR-665	11	8	22	23	45	12	46
hsa-miR-548w	11	1	8	21	7	0	0
hsa-miR-561-5p	11	0	0	6	0	0	0
hsa-miR-184	11	3	26	32	53	41	130
hsa-miR-556-5p	11	6	24	25	7	9	3
hsa-miR-4753-5p	11	0	2	0	0	7	5
hsa-miR-6827-5p	11	0	0	2	0	1	10
hsa-miR-101-5p	11	1	8	15	9	0	1
hsa-miR-6883-3p	11	0	2	3	3	0	18
hsa-let-7a-2	10.7333333333333	1.5	6.15	4.06666666666667	13.95	5.61666666666667	6.33333333333333
hsa-miR-219a-1-3p	10	1	15	11	52	8	23
hsa-miR-589-3p	10	11	3	13	15	4	31
hsa-miR-4775	10	1	4	2	3	1	3
hsa-miR-7-2-3p	10	1	1	7	0	2	5
hsa-miR-548l	10	3	12	7	0	0	4
hsa-miR-668-3p	10	9	28	51	23	34	142
hsa-miR-4473	10	1	14	4	5	5	0
hsa-miR-548ba	10	0	43	86	14	35	0
hsa-miR-429	10	10	53	7	33	17	34
hsa-miR-6775-3p	10	0	0	0	9	0	0
hsa-miR-765	10	2	4	9	6	8	8
hsa-miR-6780a-3p	10	2	5	2	2	3	8
hsa-miR-548q	10	3	10	12	7	5	7
hsa-miR-6503-5p	10	0	2	12	0	6	0
hsa-miR-6797-3p	10	0	0	0	0	0	4
hsa-miR-3661	10	1	2	10	0	0	0
hsa-miR-183-3p	10	35	171	389	132	179	284
hsa-miR-664b-5p	10	4	5	17	23	5	33
hsa-miR-4708-3p	10	1	2	35	7	0	1
hsa-miR-4796-3p	10	4	3	24	16	3	18
hsa-miR-4772-3p	10	0	17	9	0	5	16
hsa-miR-378f	9	0	2	14	6	1	6
hsa-miR-4632-3p	9	0	1	4	6	0	0
hsa-miR-4714-5p	9	0	0	0	0	0	0
hsa-miR-1185-1-3p	9	3.5	9	9.5	20	19.5	23
hsa-miR-181d-3p	9	0	0	5	11	3	9
hsa-miR-2278	9	0	8	0	0	0	0
hsa-miR-3065-3p	9	3	7	0	8	2	7
hsa-miR-4664-3p	9	0	0	0	0	0	0
hsa-miR-378e	9	0	2	6	4	0	3
hsa-miR-187-3p	9	0	0	11	5	0	0
hsa-miR-548a-3p	9	3	23	8	22	13	9
hsa-miR-491-5p	9	6	27	116	116	42	146
hsa-miR-1243	9	3	4	6	0	2	3
hsa-miR-5586-5p	9	0	0	2	0	3	0
hsa-miR-1306-5p	9	5	13	49	39	10	49
hsa-miR-6791-3p	9	2	1	8	11	0	1
hsa-let-7b	8.83333333333333	1	3.33333333333333	10.6666666666667	10.3333333333333	6.66666666666667	5
hsa-miR-6851-3p	8	0	0	0	0	0	0
hsa-miR-6808-3p	8	0	0	0	0	0	4
hsa-miR-7109-3p	8	0	0	0	0	0	0
hsa-miR-876-3p	8	35	45	90	56	76	73
hsa-miR-4725-3p	8	0	0	1	10	2	0
hsa-miR-3157-5p	8	3	3	4	0	9	5
hsa-miR-3913-5p	8	10	13	18	12	4	5
hsa-miR-7854-3p	8	4	1	11	1	3	23
hsa-miR-6777-5p	8	0	1	0	1	0	0
hsa-miR-3126-5p	8	0	4	6	0	7	0
hsa-miR-3145-3p	8	0	2	0	7	0	0
hsa-miR-641	8	8	74	133	81	47	41
hsa-miR-3120-3p	8	4	16	7	13	9	1
hsa-miR-3180-5p	8	0	0	0	8	0	12
hsa-miR-466	8	0	0	0	0	0	5
hsa-miR-6837-3p	8	0	0	7	4	1	0
hsa-miR-653-5p	7	0	0	4	1	0	2
hsa-miR-3135a	7	1	2	11	0	6	19
hsa-miR-3129-5p	7	2	11	7	13	2	2
hsa-miR-4780	7	5	15	26	20	24	34
hsa-miR-6508-3p	7	4	12	8	0	2	1
hsa-miR-769-3p	7	4	7	11	0	5	24
hsa-miR-1298-5p	7	0	4	16	13	2	6
hsa-miR-3682-3p	7	0	0	0	0	1	0
hsa-miR-3619-5p	7	0	0	12	3	0	12
hsa-miR-4662a-3p	7	0	0	30	4	2	0
hsa-miR-3133	7	0	1	0	20	0	4
hsa-miR-6749-3p	7	0	0	2	0	0	0
hsa-miR-1258	7	0	9	7	0	0	0
hsa-miR-6511b-3p	7	11	5	58	22	19	24
hsa-miR-548ap-5p|hsa-miR-548j-5p	7	0	0	1	5	12	10
hsa-miR-4661-5p	7	1	5	4	0	0	0
hsa-mir-101-2	7	0	0	0	0	0	0
hsa-miR-550a-3-5p	7	6.5	5	21	15	3.5	13
hsa-miR-193a-3p	7	0	11	19	13	6	6
hsa-miR-141-3p	7	2	7	0	16	0	6
hsa-miR-5193	7	0	2	0	6	3	17
hsa-miR-3159	7	0	5	0	8	0	0
hsa-miR-4709-3p	7	1	0	0	0	0	9
hsa-mir-30c-1	6.5	0	1.33333333333333	0.333333333333333	12	11.3333333333333	0.5
hsa-miR-3939	6	1	0	0	0	3	0
hsa-miR-597-3p	6	0	6	12	3	1	8
hsa-miR-6803-3p	6	0	2	7	21	6	3
hsa-miR-1266-5p	6	0	0	0	0	0	0
hsa-miR-187-5p	6	0	0	0	0	0	0
hsa-miR-1179	6	0	11	5	27	3	0
hsa-miR-2277-5p	6	6	28	39	26	2	28
hsa-miR-6859-5p	6	0	0	8	0	10	9
hsa-miR-6861-5p	6	0	0	6	0	0	0
hsa-miR-6755-3p	6	0	2	1	8	0	0
hsa-miR-3145-5p	6	1	2	2	0	0	1
hsa-miR-129-2-3p	6	0	2	11	9	25	21
hsa-miR-582-5p	6	7	38	68	51	48	77
hsa-miR-365a-5p	6	1	6	24	27	4	22
hsa-miR-508-5p	6	0	3	0	0	2	0
hsa-miR-6747-3p	5	1	1	35	12	12	24
hsa-miR-196b-3p	5	0	0	0	0	0	0
hsa-miR-642a-3p	5	0	15	13	0	12	11
hsa-miR-216b-5p	5	70	195	888	429	382	524
hsa-miR-4803	5	0	0	0	0	0	0
hsa-miR-4672	5	0	1	0	9	0	0
hsa-miR-3925-5p	5	0	0	0	0	0	0
hsa-miR-3653-5p	5	0	5	6	2	4	13
hsa-miR-3163	5	0	1	5	5	0	0
hsa-miR-122-3p	5	0	0	0	0	0	0
hsa-miR-3192-5p	5	2	3	0	0	4	8
hsa-miR-1269a	5	2	0	5	0	0	0
hsa-miR-1248	5	0	9	10	20	5	22
hsa-let-7a-3	4.4	0.5	4.81666666666667	9.56666666666667	3.78333333333333	7.45	7.33333333333333
hsa-miR-4517	4	1	17	5	0	2	9
hsa-miR-548n	4	0	4.5	2	0	0	11
hsa-miR-3653-3p	4	0	2	9	0	0	4
hsa-miR-153-3p	4	9	21	39	14	7	24
hsa-miR-3064-5p	4	3	0	32	27	11	37
hsa-miR-1912	4	0	3	18	11	12	13
hsa-miR-105-5p	4	9	43	107	107	68	83
hsa-miR-3140-3p	4	1	1	12	3	1	12
hsa-miR-4429	4	1	2	2	1	0	7
hsa-miR-7702	4	0	3	0	0	0	1
hsa-miR-4324	4	1	2	3	1	0	3
hsa-miR-4659b-5p	3.5	0	0	0	0	0	0
hsa-miR-4659a-5p	3.5	0	1	0	0	0	0
hsa-miR-6894-5p	3	0	0	4	0	0	0
hsa-miR-3180|hsa-miR-3180-3p	3	2	11	73	9	26	58
hsa-miR-4647	3	0	0	3	0	1	7
hsa-miR-4731-3p	3	0	7	0	8	6	13
hsa-miR-2116-3p	3	1	7	20	11	15	14
hsa-miR-3130-5p	3	0	5	0	6	0	0
hsa-miR-3691-3p	3	0	0	0	0	0	0
hsa-miR-4430	3	0	0	8	0	0	11
hsa-miR-6872-3p	3	0	0	0	0	0	0
hsa-miR-4423-5p	3	2	1	10	20	32	12
hsa-miR-1250-5p	3	5	19	16	1	5	18
hsa-miR-378i	3	0	4	2	5	3	0
hsa-miR-6134	3	0	3	1	2	0	7
hsa-mir-23b	2.16666666666667	0	3.16666666666667	1.5	0.5	1.83333333333333	1
hsa-miR-363-5p	2	7	5	6	36	16	30
hsa-miR-5684	2	0	0	0	0	0	0
hsa-miR-5090	2	0	5	2	0	0	0
hsa-miR-6721-5p	2	0	1	24	0	3	5
hsa-mir-27a	2	3	17.5	1	18.5	13	8
hsa-miR-3150a-5p	2	1	0	2	19	2	0
hsa-miR-138-1-3p	2	18	41	148	123	93	176
hsa-mir-28	2	0	9	1	0	5.66666666666667	5.66666666666667
hsa-let-7a-1	1.73333333333333	2	3.15	2.9	4.11666666666667	3.78333333333333	21
hsa-mir-378c	1.5	1.16666666666667	3.33333333333333	43.8333333333333	4	1.5	7.33333333333333
hsa-miR-6756-3p	1	0	0	5	5	15	16
hsa-mir-374c	1	0	0	0.5	0.5	0.5	0
hsa-miR-940	1	3	11	7	12	8	30
hsa-miR-4676-3p	1	0	0	0	0	0	0
hsa-miR-378b	1	0	0	1	0	0	0
hsa-miR-7110-3p	1	0	1	0	0	0	5
hsa-miR-378h	1	0	1	0	0	0	0
hsa-miR-1290	1	0	0	0	0	0	0
hsa-miR-6788-3p	1	0	1	3	9	2	21
hsa-miR-4317	0.666666666666667	0	0.666666666666667	1	0.5	0.333333333333333	1
hsa-let-7i	0.5	0	0.5	1	1.5	0	0.5
hsa-miR-4306	0.5	0	0	5	7	0	0
hsa-miR-18b-5p	0.5	0.5	2.5	3.5	3.5	0	0
hsa-miR-383-5p	0	57	180	614	120	209	797
hsa-miR-412-5p	0	54	139	2801	190	1588	4127
hsa-miR-138-2-3p	0	47	70	513	198	252	458
hsa-miR-375	0	37	223	266	102	99	209
hsa-miR-154-3p	0	35	167	146	169	160	116
hsa-miR-137	0	31	177	247	118	121	316
hsa-miR-2682-5p	0	25	38	116	85	90	176
hsa-miR-496	0	24	47	105	33	96	139
hsa-miR-329-5p	0	22	31	70	40	64	191
hsa-miR-450a-2-3p	0	19	18	88	53	55	215
hsa-miR-200a-3p	0	18	66	44	69	60	80
hsa-miR-888-5p	0	17	45	39	21	24	26
hsa-miR-433-5p	0	17	74	138	64	63	139
hsa-miR-323a-5p	0	16	44	209	62	99	344
hsa-miR-124-5p	0	11	43	48	24	15	61
hsa-miR-135a-5p	0	11	65	86	53	56	184
hsa-miR-190b	0	10	32	53	79	33	64
hsa-miR-488-3p	0	10	31	53	12	45	75
hsa-miR-410-5p	0	10	36	40	24	32	63
hsa-miR-216a-3p	0	9	20	68	54	21	37
hsa-miR-522-3p	0	9	6	32	59	74	154
hsa-miR-34c-3p	0	8	45	20	26	41	52
hsa-miR-182-3p	0	8	122	182	97	119	186
hsa-miR-758-5p	0	7	52	162	56	74	126
hsa-miR-514a-3p	0	7	16	17	32	5	1
hsa-miR-605-3p	0	7	12	21	47	6	7
hsa-miR-4731-5p	0	7	15	11	44	29	29
hsa-miR-6505-5p	0	6	2	10	0	3	4
hsa-miR-516a-5p	0	6	10	44	68	21	137
hsa-miR-23a-5p	0	6	30	36	33	15	56
hsa-miR-758-3p	0	6	34	49	16	15	71
hsa-miR-1197	0	6	16	27	20	40	37
hsa-miR-1185-2-3p	0	5.5	10	2.5	0	1.5	13
hsa-miR-376a-5p	0	5	42	37	28	38	48
hsa-miR-4742-5p	0	5	4	16	30	7	39
hsa-miR-4657	0	5	1	0	0	0	0
hsa-miR-431-3p	0	5	24	20	4	9	23
hsa-miR-488-5p	0	5	50	53	120	63	158
hsa-miR-301a-3p	0	5	23	8	6	5	41
hsa-miR-4662b	0	4	4	47	18	3	12
hsa-miR-20b-3p	0	4	18	4	23	10	8
hsa-miR-1185-5p	0	4	26	6	18	19	22
hsa-miR-548ar-3p	0	4	4	5	13	4	0
hsa-miR-770-5p	0	4	4	12	0	0	9
hsa-miR-518e-5p|hsa-miR-519a-5p|hsa-miR-519b-5p|hsa-miR-519c-5p|hsa-miR-522-5p|hsa-miR-523-5p	0	4	2	14	16	14	31
hsa-miR-541-3p	0	4	14	62	7	28	64
hsa-miR-3149	0	4	8	16	12	5	8
hsa-mir-30c-2	0	4	9.33333333333333	31.8333333333333	16.5	5.83333333333333	0
hsa-miR-548ay-3p	0	4	4	22	18	6	6
hsa-miR-4798-5p	0	4	14	26	14	4	15
hsa-miR-509-3p	0	3	8	12	27	3	70
hsa-miR-3200-3p	0	3	24	72	30	25	83
hsa-miR-33a-3p	0	3	28	14	33	10	11
hsa-miR-491-3p	0	3	4	3	17	1	13
hsa-miR-374c-3p	0	3	4	6	0	4	0.5
hsa-miR-1295a	0	3	7	32	5	1	7
hsa-miR-5002-5p	0	3	11	0	3	12	17
hsa-miR-133a-5p	0	3	7	16	121	8	12
hsa-miR-4422	0	3	1	5	0	1	8
hsa-miR-4536-5p	0	3	10	23	14	7	9
hsa-miR-3926	0	3	0	0	0	0	0
hsa-miR-200b-5p	0	3	20	26	26	13	18
hsa-miR-7156-5p	0	3	13	16	8	13	2
hsa-miR-2355-5p	0	3	16	0	0	0	12
hsa-miR-943	0	3	0	0	2	4	0
hsa-miR-7978	0	3	15	9	0	9	17
hsa-miR-6516-5p	0	3	12	14	22	6	29
hsa-miR-2113	0	3	0	0	0	0	7
hsa-miR-4716-3p	0	3	0	0	7	3	2
hsa-miR-1224-5p	0	3	21	39	14	18	23
hsa-miR-3689a-5p|hsa-miR-3689b-5p|hsa-miR-3689e	0	3	2	0	0	9	0
hsa-miR-1273c	0	3	8	7	3	5	14
hsa-miR-7151-3p	0	3	8	5	17	14	15
hsa-miR-100-3p	0	3	10	1	8	13	0
hsa-miR-216a-5p	0	2	1	6	5	0	0
hsa-miR-490-3p	0	2	0	0	0	0	0
hsa-miR-6871-3p	0	2	3	2	0	0	0
hsa-miR-1275	0	2	0	8	0	2	3
hsa-miR-6823-5p	0	2	0	0	0	0	0
hsa-miR-4695-3p	0	2	0	0	0	0	0
hsa-miR-3174	0	2	5	1	7	6	43
hsa-miR-6875-5p	0	2	0	14	3	2	6
hsa-miR-1911-5p	0	2	8	15	1	0	0
hsa-miR-4477b	0	2	1	6	0	0	0
hsa-miR-1323	0	2	0	9	0	19	8
hsa-miR-6895-5p	0	2	0	0	0	0	0
hsa-miR-323b-5p	0	2	4	27	7	5	27
hsa-miR-6513-5p	0	2	0	0	1	3	0
hsa-miR-556-3p	0	2	13	5	5	0	22
hsa-miR-3907	0	2	0	2	0	0	6
hsa-miR-6882-5p	0	2	12	33	8	12	10
hsa-miR-517a-3p|hsa-miR-517b-3p	0	2	2	15	12	3	7
hsa-miR-371a-5p	0	2	2	0	3	4	0
hsa-miR-892a	0	2	7	20	11	9	23
hsa-miR-4684-3p	0	2	1	3	7	0	0
hsa-miR-448	0	2	0	0	51	3	21
hsa-miR-6780a-5p	0	2	3	8	4	11	18
hsa-miR-5708	0	2	0	5	0	0	0
hsa-miR-4665-5p	0	2	0	28	5	5	31
hsa-miR-4762-3p	0	2	2	0	0	0	0
hsa-miR-4638-5p	0	2	2	4	0	0	0
hsa-miR-376b-3p	0	2	0	2	7	1	0
hsa-miR-551b-5p	0	2	5	6	5	0	18
hsa-miR-134-3p	0	2	13	4	21	4	0
hsa-miR-6720-3p	0	2	0	0	0	0	0
hsa-miR-2277-3p	0	2	4	4	0	1	14
hsa-miR-449a	0	2	5	6.5	16	0	0
hsa-miR-6815-3p	0	2	4	4	0	0	0
hsa-miR-548b-5p	0	2	23	14	23	27	8
hsa-miR-3941	0	2	0	0	0	0	3
hsa-miR-548ab	0	2	5.5	3	1	2	3
hsa-miR-6770-3p	0	2	3	6	0	8	2
hsa-miR-659-5p	0	2	12	6	11	8	13
hsa-miR-216b-3p	0	2	11	18	24	16	24
hsa-miR-6841-5p	0	2	3	42	18	10	13
hsa-let-7f-1	0	1.5	0	0.5	2	1.5	1.5
hsa-miR-4791	0	1	5	12	0	4	1
hsa-miR-890	0	1	2	0	1	2	3
hsa-miR-6826-5p	0	1	2	3	0	8	6
hsa-miR-4536-3p	0	1	0	0	6	2	0
hsa-miR-6738-3p	0	1	0	11	3	0	0
hsa-miR-6894-3p	0	1	3	2	0	2	9
hsa-miR-767-3p	0	1	1	0	0	10	8
hsa-miR-6881-3p	0	1	1	3	7	0	3
hsa-miR-1283	0	1	0	0	18	3	8
hsa-miR-4773	0	1	5	6	29	5	15
hsa-miR-6862-3p	0	1	0	0	0	4	0
hsa-miR-5588-5p	0	1	1	18	7	3	9
hsa-miR-3128	0	1	0	2	0	3	0
hsa-miR-1288-3p	0	1	3	7	0	3	10
hsa-miR-4491	0	1	4	4	0	2	0
hsa-miR-129-1-3p	0	1	6	17	27	10	16
hsa-miR-3115	0	1	1	0	0	0	3
hsa-miR-4635	0	1	0	0	0	0	6
hsa-miR-153-5p	0	1	3	8	7	1	0
hsa-miR-3117-3p	0	1	0	9	0	9	3
hsa-miR-500b-3p	0	1	2	16	9	8	9
hsa-miR-152-5p	0	1	10	0	5	1	0
hsa-miR-3152-3p	0	1	2	13	5	0	19
hsa-miR-1227-3p	0	1	0	16	14	2	6
hsa-miR-5189-5p	0	1	1	0	0	0	0
hsa-miR-6788-5p	0	1	1	10	4	0	9
hsa-miR-3660	0	1	11	20	1	15	0
hsa-miR-6744-5p	0	1	0	0	0	0	0
hsa-miR-513a-5p	0	1	0	9	0	0	2
hsa-miR-5091	0	1	1	0	0	0	0
hsa-miR-499b-3p	0	1	2	0	3	0	0
hsa-miR-6892-5p	0	1	4	0	6	1	3
hsa-miR-4723-3p	0	1	0	1	0	1	0
hsa-miR-892b	0	1	5	0	0	0	0
hsa-miR-6777-3p	0	1	0	0	1	0	4
hsa-miR-7152-3p	0	1	0	0	0	0	0
hsa-miR-506-5p	0	1	0	0	2	4	9
hsa-miR-5587-3p	0	1	0	0	0	0	0
hsa-miR-6743-3p	0	1	0	0	0	0	3
hsa-miR-4701-3p	0	1	0	0	0	2	0
hsa-miR-2116-5p	0	1	0	0	0	0	0
hsa-miR-3154	0	1	2	6	0	2	10
hsa-miR-6782-5p	0	1	0	0	0	0	0
hsa-miR-548a-5p	0	1	0	0	0	0	0
hsa-miR-4779	0	1	0	0	19	0	1
hsa-miR-6501-3p	0	1	0	6	0	2	6
hsa-miR-1285-3p	0	1	12	33	28	0	15
hsa-miR-3190-3p	0	1	4	2	3	0	0
hsa-miR-3139	0	1	0	4	0	1	6
hsa-miR-3200-5p	0	1	4	1	0	2	8
hsa-miR-6855-3p	0	1	0	4	0	2	0
hsa-miR-4521	0	1	18	0	14	4	14
hsa-miR-4786-5p	0	1	0	1	0	0	0
hsa-miR-7973	0	1	16	9	18	0	0
hsa-miR-6740-5p	0	1	0	0	11	2	0
hsa-miR-6888-3p	0	1	3	0	0	0	0
hsa-miR-3188	0	1	8	5	0	7	14
hsa-miR-147b	0	1	4	7	0	18	0
hsa-miR-5187-3p	0	1	0	0	0	0	0
hsa-miR-509-3-5p	0	1	4	15	15	0	23
hsa-miR-933	0	1	0	0	0	0	0
hsa-miR-552-5p	0	1	0	6	3	1	11
hsa-miR-4661-3p	0	1	0	6	0	0	0
hsa-miR-6862-5p	0	1	2	0	0	0	0
hsa-miR-1180-5p	0	1	0	2	0	2	0
hsa-miR-4800-5p	0	1	4	11	13	0	15
hsa-miR-4709-5p	0	1	3	0	7	7	2
hsa-miR-3914	0	1	3	0	5	4	8
hsa-miR-149-3p	0	1	0	0	0	0	5
hsa-miR-7155-3p	0	1	2	4	0	0	5
hsa-miR-935	0	1	10	16	7	4	13
hsa-miR-548au-5p	0	1	0	7	0	0	7
hsa-miR-33a-5p	0	1	21	15	31	4	9
hsa-let-7f-2-3p	0	1	21	11	15	7	6.5
hsa-miR-3936	0	1	0	4	0	0	12
hsa-miR-889-5p	0	1	4	16	11	10	15
hsa-miR-939-5p	0	1	0	0	0	4	6
hsa-miR-6758-3p	0	1	3	21	0	7	7
hsa-miR-4421	0	1	0	5	0	0	0
hsa-miR-3157-3p	0	1	0	3	0	1	2
hsa-miR-203b-3p	0	1	0	0	7	1	0
hsa-miR-660-3p	0	1	8	11	26	1	6
hsa-miR-541-5p	0	1	20	14	20	9	46
hsa-miR-186-3p	0	1	4	7	10	0	0
hsa-miR-4689	0	1	0	4	0	0	0
hsa-miR-6769b-3p	0	1	1	2	0	0	0
hsa-miR-200a-5p	0	1	5	12	47	10	7
