	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
processed_transcript	27544.0279110901	43070.7086212938	22576.4700061099	32868.7125762559	32073.0561008199	36961.5532254896	41461.434960865	43738.5515134538	36434.542755139	40693.4088238643	27357.3508166975	32557.2751693813	47849.5365649113	59258.4273905025	28514.4948740568	39215.5709485871	41810.3048644641	46270.9725705548	28690.9512805364	26807.0402176538	22920.0301998511	28376.1159761523	34145.9206043314	27701.1142382706	30836.8035240695	17465.2466293337	22431.5628154173	20192.0514791721	42497.436625441	34347.3763608023	43029.3567516022	49512.2959491771	43910.0981445678	34910.058283785	97901.3179505458	32418.2206561282	36383.813192408	34279.3848878967	36652.7301412771	29356.2475762592	41114.4275741968	46715.5738529403	42222.313417271	29739.0441164942	42074.7913777202	35802.4922392244	39171.9494491099	18595.2635318702	30698.2507633513	54818.3504587579	19237.1950189977	28857.6178813046	19551.557999517	22549.3649315681
Mt_rRNA	26021.8258297259	29228.994877345	16610.5765873015	21480.0892857144	17175.2761904762	26531.4920634922	37617.1547619048	42406.132972583	35130.861904762	31462.1496031747	24161.8071428573	29320.3115440117	69885.1813852811	77075.1448412698	21561.7516233767	38933.528968254	34154.5825147076	40036.6948412698	27175.8702380953	31687.2968614721	20664.5547619048	11912.9678571428	16423.8036075036	14103.817063492	25801.5476190478	18615.4413059163	14025.1058913308	17852.2583333333	40842.4174603175	34466.811904762	28759.9484126986	35703.7714285715	59117.4246392495	36901.1011904763	72421.1594377845	33832.1373376624	42987.8269841271	29461.4757936509	32679.8794011546	16250.4791925466	20562.1567460318	22778.8058730159	35408.0682539684	19709.6111111112	28618.5710317462	31902.0710317461	41314.8234126984	16475.7061507936	29501.3067460319	51634.3392857143	13975.0305555555	21964.2551587302	12605.7948412698	10495.5071428571
antisense	21953.7602029047	35324.7270271996	17739.9441576625	20902.1870778213	20593.6925999728	25273.2720120575	19784.4004261348	23767.5177269812	18917.4767954838	23713.5987046823	15355.3789402362	18617.0279808808	23060.4732529461	28270.7650529929	16310.169921494	25536.689957717	23896.30977118	27784.7586694055	17562.623450623	18608.1439771923	12728.3621561367	15255.6270288042	20463.2478205512	17110.430622691	19495.2775943742	11733.0802034596	13543.608171024	14132.2945375259	27521.4914401028	25446.6067294735	28334.6115642962	30676.5978638755	23840.638339361	17013.2566450993	49818.1055345786	17420.6656469742	22819.1253089988	17158.2653719092	22078.6867920581	13784.9171446393	22216.2196393452	23099.262140037	29633.1514737273	14403.1924741674	21317.6876989886	17560.1794773781	19324.7297503843	8917.60836702307	15184.1169310119	25222.6213295571	8669.44349358141	18423.2901999001	10042.2443911799	10778.6194406621
nonsense_mediated_decay	10006.7957633298	13054.0281787751	7057.47537552288	8881.06900061887	8864.27530018646	9121.74833791371	14305.4054601861	15715.3149284398	13102.3150286555	8753.72621847657	7084.87404322381	9220.24995090282	17273.4266908114	20640.0560959125	5676.15722733339	10906.6665322894	9125.25693004763	12722.2559780241	10741.2680382817	11614.437334417	8720.95797376442	6698.0340817628	8460.28834333797	7115.26255160323	8574.55234437129	4716.45874180665	5192.01335981897	4529.95855765792	11941.058369275	7949.24022590641	6929.35720027308	8435.12733904711	11526.7505383631	10493.944615551	22954.3408243124	9806.5742848672	17089.5442578096	15922.9288009905	16827.9145054486	9973.27425633311	14829.6943519667	16474.3224578302	13026.8311756793	8983.54306608507	12483.2989849761	10062.7341582624	12211.1096780239	4467.29118579816	6836.45399876397	15007.3523863785	3451.73544960547	5635.55615462581	3227.02109490349	3091.0066708753
sense_intronic	7854.30424677583	12905.599002284	6938.18295950334	9633.7879731148	11600.8140200268	12089.795452918	10743.2359673581	9792.53981659205	9062.43076040548	6832.18705609518	6104.29518682561	7513.85001861374	8419.27437753664	10103.5656961285	6231.39651608507	10448.5608562322	11507.6101904455	10320.8138655225	6925.70258441612	6583.67394911757	5751.64994035584	10081.5557813383	13385.9125332227	8750.74776270373	4215.22287962316	2486.8498223577	2892.85395660406	3515.21308692122	7332.06559374748	6845.05301250227	7416.38444756933	7318.97365985077	6222.14048918841	8742.94251357112	26371.3310168094	7834.74752989166	7367.12024073652	7926.07082770889	8785.85147301631	10160.9389645013	13060.4457576536	15431.370896151	8354.68925179057	10330.3506964644	13719.1085197195	9921.95072739467	10167.724760525	5599.7278806922	5270.83430115368	9048.01270668494	3719.44006527925	6990.05610674365	5831.75518653152	5963.8501210243
processed_pseudogene	7635.42760083965	10667.3601842106	6160.58193741814	5672.29036784713	5383.86153725071	6184.39308506823	11346.5389160259	12032.3114597507	10284.8963484156	5224.17672582399	4198.4485054446	5703.76459639367	11821.6068472397	14276.4986294238	3742.03416531613	7323.86208620412	6536.22200776323	8070.94850701202	7792.23755311272	8373.14458510245	6098.26102030943	3478.62326481335	5035.31633981239	4206.05454926856	6029.78252728029	3399.82044565768	3534.07691471859	2621.50217901146	6359.38857985276	4642.05915416025	4284.50681135203	5187.29502319637	8451.14889565483	6633.0877605059	13129.8109420326	6014.82145558386	10089.7220939563	9576.571876876	10989.5831972852	6780.3652269182	10551.3115764715	11581.9279561302	8161.53497639832	4712.79248544234	6957.43873398148	5450.33106237531	7003.5847593702	2477.9226779902	4630.50822379696	9907.3695913412	2331.96077547599	3827.57255839238	2259.05215492492	1879.31587005117
scaRNA	1634.83333333333	3039.06666666667	1874	4562.16666666666	5680	4844.28333333333	6430.17051282051	6905.68333333333	5161.46666666666	8242.41666666667	7561.28333333334	9427.70000000001	7250.48333333334	9262.66666666668	5283.2	7607.83333333334	7404.85000000001	6997.26666666667	1802.5	1991.25	1569.95833333333	4230.6	5729.71666666667	4184.11666666666	3089.91666666667	1797	1946.9	3425.13333333333	6627.95	6341.3	5480.16666666667	5817.55	6166.1	7758.03333333334	26453.6166666667	7629.56666666667	2174.83333333333	2319.7	2631.25	4975.68333333333	6243.56666666666	7224.13333333334	4823.8	5139.66666666667	7143.36666666667	10929.0666666667	12949.75	7095.50000000001	6210.36666666667	9148.45	4631.33333333333	6952.06666666668	5465.23333333334	5147.64444444444
TEC	5303.14526606188	8386.48507377868	3991.31670211879	4985.76089716467	5879.46411572063	7822.16173097587	3052.53328068262	2681.98903137954	2258.9835971363	3279.44848708662	2115.71692123012	2672.4111224222	7498.08844472489	8845.6664148888	4835.81780248593	7191.19403516954	8444.24294239743	7316.20413923072	4630.05210210182	4096.48248747549	3811.53117331408	4933.2315189596	6644.10110287201	4244.12849672135	2288.94006938963	1308.48617121277	1794.54150072604	1631.09443563916	3722.16778168006	2608.35193027959	5548.2080817224	5212.74198614956	4599.98680343278	4783.14269659397	14290.0347271756	3568.83281395438	4528.01833238586	4653.75760407409	4877.6856427671	4337.5323982736	5576.6442799259	6725.00633815595	3108.80293743168	2722.67826383565	3756.96710623519	3724.37693240783	4007.90264024637	2413.67286510161	3598.56348693994	6932.51239236099	2295.57619540317	3417.24260357418	3271.51595334249	3543.11274187853
unprocessed_pseudogene	5928.16879936264	7999.95635135713	4971.42402434527	2992.71168870783	3496.74793129094	4806.77150615023	4324.22373380654	4380.29478965624	3804.08726320934	2980.76415221069	2293.22530335539	3687.14604208599	11620.1044111587	13081.549372122	2278.71234280205	6025.8104349722	5874.11976183388	6365.23786997214	4812.83463570096	5579.60171694643	3964.9875473644	1799.61841635026	2701.11467681187	2341.81459755355	1445.13752467449	924.661816755331	814.338667790845	1071.33418783416	2525.91246303217	1829.20661579707	1969.35837509352	2848.90912658355	7130.80300186664	6007.72068678915	8312.09926216487	4900.81848842489	8954.84756415341	7309.38100437134	7831.2547762443	2318.21936721028	2249.21270092425	2615.00340876761	3116.85396644117	1769.15926206183	2918.30397286794	3288.37117443186	3898.33176039954	1275.80490372135	3316.91144714014	6731.69540169788	1207.95801735724	2429.52980055383	1659.30632965347	917.645328144211
ribozyme	900.5	1555	824.75	1840.5	2591	1768.66666666667	4331.2	4333	3792.83333333333	2948.83333333333	2266.2	2814.33333333333	2663.03333333333	3149.66666666667	2107.66666666667	1711	1584.83333333333	1695.16666666667	699.2	1047.5	626.5	1182.33333333333	1672	1509	1971.33333333333	1305	1020.83333333333	1634.03333333333	3374.33333333333	3092.31111111111	3390.66666666667	4308.5	3650.33333333333	1406.9	4607.5	1985.66666666667	1487.5	962.5	1369.66666666667	1549.33333333333	2212	2339.5	2917.5	1802.55555555556	2692.83333333333	2551.2	2789	1493.66666666667	3134.7	4320	2123.33333333333	2447.83333333333	1100.33333333333	1069.5
vaultRNA	1066.5	1862	1672.5	1204.5	1315.5	1292	1385.5	1460.5	1083.7	917.2	838	965.5	666	926.833333333333	614.7	468.2	543.2	505.5	4284.66666666667	3746.5	4042.5	3808.5	3831.16666666667	2918	2184.66666666667	1577.33333333333	1452.33333333333	1693.33333333333	2287.33333333333	2894.83333333333	1855.7	2767.5	3612.83333333333	3238.5	14326.5333333333	3391.2	2929	4785	4735.5	2040.5	2230.83333333333	2949.5	1101.33333333333	2444.33333333333	3035	2232.5	1959.7	830	1328	2238	1344.5	806	902	784.5
rRNA	647.286325493934	781.456827080965	477.337837837838	503.458333333333	597.331531531531	563.525225225225	399.9180999181	493.087739463602	452.154279279279	386.579989873595	224.171491458991	329.697891866496	334.75951015951	392.002700752701	297.417038090722	376.998867174931	350.220345345345	427.014393093973	1191.9222777125	1500.50411182163	1053.33801682063	979.761018711019	1463.23812448812	1053.59589437176	884.288178488178	498.672999086043	408.26930290858	308.418520244382	770.715293683898	598.597723612941	395.078746011705	469.376501501501	393.321378846379	318.469403494403	823.154117386726	242.591792441792	936.302265313913	1321.08295334637	1736.03488256749	687.595445134576	440.5	523.053295842426	389.733333333333	249.72545045045	391.301515151515	413.76886148272	546.688986310725	179.038349499325	238.021171171171	468.101471530819	160.317374517375	197.331812774667	145.712612612613	172.11858974359
sense_overlapping	383.23761680314	343.714810005755	191.899644375905	223.518066345071	231.505180271826	274.783353758055	319.533267217266	354.240818028158	306.500404908487	358.295076433361	260.180051046146	422.023590382969	1300.93460927309	1494.6218603003	250.580155594755	686.419199688326	536.463235145516	754.891869870876	392.067220623494	439.040142134426	318.92665114813	237.950819032613	255.605951383078	238.371138080693	208.644363503187	110.792868210839	128.519772123465	184.544394597489	621.972415273504	291.118826206177	385.658813038384	503.618401624252	873.233420289446	594.288331616868	1009.41529166565	517.980446609658	850.191003656482	706.552544068076	736.044416180343	279.842963734059	340.080149193196	366.433496509374	465.334562372893	266.990040735151	371.46766505532	496.320883492489	598.864010108212	152.540251324264	314.118318751221	919.694949165011	164.666482275995	253.254470379773	139.715728413273	130.68769708114
non_coding	139.489225586947	197.844500000875	128.347401850307	146.452492912456	157.62801534494	171.119792307587	268.709699324583	338.502039325075	311.869763853257	312.087933741891	268.863141812038	298.078300129614	297.682573001193	293.70374141416	182.968806113129	264.73379389806	246.579092091962	308.037705093062	200.298826461554	293.732864423146	147.293984584686	222.662712751671	270.899001892941	241.134069769545	568.860084097374	371.273229834444	391.615939696961	265.097777583032	484.975038066439	448.030297558139	317.842670654444	344.376927267502	292.432797335965	225.664806459282	664.127576780337	248.340014923092	321.779825476498	259.034524457677	375.860926832226	210.810651093662	167.396797335602	153.306984419404	311.830558685254	188.158957331218	235.96222705723	257.603154306666	289.203023247019	115.956895591403	222.82205342581	289.873861535558	131.702614078777	212.015483818548	110.935061809212	123.306136796771
macro_lncRNA	235.249488440626	205.35380017179	64.2821047573521	99.3865424070491	114.193294811226	139.208236609819	145.911798004054	181.317017276607	139.567582583906	211.939141883091	143.035516247187	269.11706029891	998.756523321092	1058.08008677804	179.139700765517	466.30218820384	392.14486429508	525.425161735268	296.308782371439	263.566218383994	210.11411349895	124.074672018971	120.43599087089	114.962994059704	95.8180731935269	48.990689621839	74.0699712256319	99.5676970632854	372.934095914548	156.931626470875	235.620235123478	332.843669539631	654.611985211807	388.213982277644	595.281966935968	361.172312464399	588.332184911929	518.903649264795	490.146160350865	151.109051910086	141.350758273744	156.710002633532	246.415540961054	101.673627944308	217.706579184508	319.662149503058	391.109611387351	98.0917455429175	213.453541579003	626.094650945932	98.757782420762	168.846877205419	92.0144035488076	65.0922891378774
transcribed_processed_pseudogene	173.945861359006	226.885803425437	109.594495738681	200.989124475055	182.321227664035	183.680176383252	414.946948623172	426.709061813437	369.812134235594	188.681726870701	140.98250639866	178.734159958148	317.865507934222	382.886232452154	103.61455868557	196.170068766071	172.010017252752	212.725918160034	186.322831131449	197.313139590223	160.835625923836	115.281650889248	165.323411576663	156.116106497734	218.880136723756	127.806851059145	128.285908377498	73.9717455260893	214.832697757502	142.468858676964	125.024823803759	158.873526542731	209.234212568535	167.684868407028	385.045593204783	170.004133961834	301.495189057383	318.130713150796	296.845175157419	258.481992451405	419.058312248722	457.805293157841	281.323026629216	181.458299578908	258.012315796479	196.193170915861	230.168855725438	85.1718687846234	146.199644537424	275.840765257067	72.1044834421586	115.791092323522	67.1704304634601	59.8525312851657
transcribed_unprocessed_pseudogene	159.923935960672	201.181680509992	128.820900973664	145.899276673794	163.396670155107	158.763556114541	306.194278250253	316.769886827135	254.281021391837	187.426579464142	156.601232355672	187.042539709222	380.983773836965	428.880480780821	129.429522853965	212.557130663947	161.740144431653	221.63158325087	181.40000259281	199.441897556437	147.464562027579	123.843941774693	161.580265152153	131.852522221265	160.917126369396	94.0118186402297	98.0699045793016	91.7002918101863	246.983075583386	178.907856911915	140.675349773986	178.837948650737	250.902438567857	199.883389188788	394.230390070629	181.391486731846	286.758464254624	256.88680752621	272.59055672867	179.037109171985	245.307067996029	264.449904925647	242.182322622084	164.982693547403	224.599671601014	235.719163212269	286.881069451889	97.8972430740785	136.485703354843	297.079081833845	71.283691834031	94.6850786613249	47.0140517644596	48.1475702094924
non_stop_decay	30.1069100619023	50.4720912420912	25.0519855144855	48.0380150241915	38.3039292406939	39.4815646771529	74.447982415363	72.3496838086234	66.5651363943933	34.2266062439975	32.4035286342484	40.9583601477642	87.3540906653765	93.113478469017	29.4695669526552	63.9393297220384	42.6758966308889	61.5960218874692	42.789698710635	44.0101476138241	33.089370759959	33.4982220995379	37.9551161448423	27.7445433651316	38.781606035863	30.2412713182874	27.7915874759915	23.496009747906	55.495876984437	30.8537979449744	27.5894294731756	38.4039394214317	60.3304044484927	57.8542858285505	104.956886122134	44.4146768865809	63.456024264693	55.6617773566303	69.1542467293628	52.2162156256196	69.7970112189152	85.3648188498808	64.1280296335595	42.9924883724806	55.850458120311	48.340737040737	60.1544266204656	20.2210095460095	30.5696821782241	68.1398576984255	10.7869671994672	25.5182368070526	15.2128982128982	13.8365856365856
