	input	successfully_clipped	failed_quality_filter	failed_homopolymer_filter	calibrator	UniVec_contaminants	rRNA	reads_used_for_alignment	genome	miRNA_sense	miRNA_antisense	miRNAprecursor_sense	miRNAprecursor_antisense	tRNA_sense	tRNA_antisense	piRNA_sense	piRNA_antisense	gencode_sense	gencode_antisense	circularRNA_sense	circularRNA_antisense	not_mapped_to_genome_or_libs	repetitiveElements	endogenous_gapped	input_to_exogenous_miRNA	exogenous_miRNA	input_to_exogenous_rRNA	exogenous_rRNA	input_to_exogenous_genomes	exogenous_genomes
trimmed_19101-0011_SmallRNA.fastq.fastq	12465527	0	182338	10829	0	1871	2590404	9680085	9221735	5058918	3	23691	415	728684	165	179783	195	2688620	17764	6	312	458350	0	0	0	0	0	0	0	0
trimmed_19101-0012_SmallRNA.fastq.fastq	15068937	0	221356	13182	0	1589	3103229	11729581	11189815	6440713	7	29106	589	814197	164	190659	213	3032040	23115	10	602	539766	0	0	0	0	0	0	0	0
trimmed_19101-0013_SmallRNA.fastq.fastq	12984034	0	310678	12151	0	2014	2751924	9907267	9438446	4150058	1	20932	281	851406	190	119860	215	3316790	47393	11	191	468821	0	0	0	0	0	0	0	0
trimmed_19101-0014_SmallRNA.fastq.fastq	15773473	0	251893	12490	0	2057	3130917	12376116	11702555	5472513	3	26739	349	950602	300	143747	234	3928973	56003	23	274	673561	0	0	0	0	0	0	0	0
trimmed_19101-0015_SmallRNA.fastq.fastq	9155818	0	154821	6881	0	1119	1734612	7258385	6874572	3225201	3	18439	195	620890	134	93458	116	2546780	15975	3	155	383813	0	0	0	0	0	0	0	0
trimmed_19101-0016_SmallRNA.fastq.fastq	13656809	0	205423	6947	0	4323	2061111	11379005	10773587	5884670	4	25772	450	822141	152	124085	87	3206309	32750	4	251	605418	0	0	0	0	0	0	0	0
trimmed_19101-0017_SmallRNA.fastq.fastq	13050329	0	181198	8178	0	2586	1785509	11072858	10506768	5820648	3	26901	416	806291	138	111688	102	3148341	27829	10	199	566090	0	0	0	0	0	0	0	0
trimmed_19101-0018_SmallRNA.fastq.fastq	13678955	0	206672	10184	0	2994	2151779	11307326	10623987	5408664	5	28882	491	948927	164	127175	131	3363069	34853	13	223	683339	0	0	0	0	0	0	0	0
trimmed_19101-0019_SmallRNA.fastq.fastq	10057799	0	206482	44640	0	2481	3239849	6564347	6012122	2784879	2	574668	106	481949	41	33681	95	1558954	32009	3	381	552225	0	0	0	0	0	0	0	0
trimmed_19101-0020_SmallRNA.fastq.fastq	11206128	0	188796	56152	0	1329	3625648	7334203	6780518	3414025	5	617233	118	525188	38	34808	120	1521230	34183	17	641	553685	0	0	0	0	0	0	0	0
trimmed_19101-0021_SmallRNA.fastq.fastq	7991939	0	137201	29875	0	1885	2479367	5343611	4909349	2205544	1	478422	72	475066	27	25836	91	1260207	24600	2	528	434262	0	0	0	0	0	0	0	0
trimmed_19101-0022_SmallRNA.fastq.fastq	11359880	0	187137	21017	0	1127	2054620	9095979	8558538	4077189	10	860614	120	949397	21	47565	62	2054919	16079	1	1248	537441	0	0	0	0	0	0	0	0
trimmed_19101-0023_SmallRNA.fastq.fastq	15214535	0	211322	27651	0	1424	2606645	12367493	11649274	5544782	13	1280882	197	1465487	33	63434	76	2557537	21834	5	1706	718219	0	0	0	0	0	0	0	0
trimmed_19101-0024_SmallRNA.fastq.fastq	12335282	0	200170	23664	0	1712	2235714	9874022	9276123	4291291	6	910383	130	1305181	27	52113	83	2096482	18723	5	1206	597899	0	0	0	0	0	0	0	0
trimmed_19101-0025_SmallRNA.fastq.fastq	11744066	0	200595	32027	0	1915	3953281	7556248	6755263	3178671	19	111678	406	382447	41	156528	93	1998716	16642	6	343	800985	0	0	0	0	0	0	0	0
trimmed_19101-0026_SmallRNA.fastq.fastq	6816569	0	148787	16299	0	3200	2250428	4397855	3906532	1811330	9	56048	236	246036	27	81975	44	1207834	9830	6	209	491323	0	0	0	0	0	0	0	0
trimmed_19101-0027_SmallRNA.fastq.fastq	7338461	0	137335	15095	0	924	2300534	4884573	4438290	1933144	8	67466	261	253871	26	96115	56	1502299	10664	5	225	446283	0	0	0	0	0	0	0	0
trimmed_19101-0028_SmallRNA.fastq.fastq	8981324	0	220664	14062	0	2944	1992354	6751300	6279686	3459500	5	20253	451	378542	63	163026	97	1596700	14116	3	165	471614	0	0	0	0	0	0	0	0
trimmed_19101-0029_SmallRNA.fastq.fastq	16404068	0	213030	33382	0	1480	4439338	11716838	10861293	5818076	18	31690	791	672057	107	250065	188	2922700	30432	6	240	855545	0	0	0	0	0	0	0	0
trimmed_19101-0030_SmallRNA.fastq.fastq	15799001	0	209825	26230	0	1852	4200798	11360296	10667714	5586085	16	30335	711	727068	133	295709	223	2994168	22548	7	252	692582	0	0	0	0	0	0	0	0
trimmed_19101-0031_SmallRNA.fastq.fastq	11905387	0	283744	16190	0	1144	2000302	9604007	9133229	4121137	2	23077	212	944587	178	136177	139	3394964	20693	5	182	470778	0	0	0	0	0	0	0	0
trimmed_19101-0032_SmallRNA.fastq.fastq	13546214	0	168605	16920	0	1744	2319888	11039057	10351591	4666713	6	23424	249	1022060	207	157792	201	3836441	25362	13	207	687466	0	0	0	0	0	0	0	0
trimmed_19101-0033_SmallRNA.fastq.fastq	12702245	0	154514	14300	0	2004	2329473	10201954	9585404	3854111	2	21495	259	1138611	221	123730	225	3594585	36409	10	196	616550	0	0	0	0	0	0	0	0
trimmed_19101-0034_SmallRNA.fastq.fastq	12723718	0	168923	8597	0	2426	1673477	10870295	10321515	5649934	3	21507	461	1073798	91	94028	94	2839596	29321	11	175	548780	0	0	0	0	0	0	0	0
trimmed_19101-0035_SmallRNA.fastq.fastq	39151597	0	640502	23598	0	7453	4546420	33933624	32597072	19470166	8	67123	1490	2785707	283	306278	242	8415072	67965	12	637	1336552	0	0	0	0	0	0	0	0
trimmed_19101-0036_SmallRNA.fastq.fastq	13064201	0	164393	9238	0	1877	1704814	11183879	10702603	6199142	3	23967	411	932081	106	108462	102	2753448	28556	10	213	481276	0	0	0	0	0	0	0	0
trimmed_19101-0037_SmallRNA.fastq.fastq	10720196	0	142904	49291	0	2077	3545624	6980300	6462687	2766472	1	351570	133	674408	67	43129	138	1755428	46103	11	892	517613	0	0	0	0	0	0	0	0
trimmed_19101-0038_SmallRNA.fastq.fastq	11041101	0	150812	42742	0	2006	3877714	6967827	6419828	2770634	1	425601	139	728002	50	40523	142	1714997	40461	7	777	547999	0	0	0	0	0	0	0	0
trimmed_19101-0039_SmallRNA.fastq.fastq	13389407	0	190010	56358	0	1839	4437067	8704133	7973194	3696226	1	508342	176	835447	71	52479	174	1950719	48862	14	1059	730939	0	0	0	0	0	0	0	0
trimmed_19101-0040_SmallRNA.fastq.fastq	11786611	0	226646	10722	0	3279	1885941	9660023	9180555	4196661	5	827043	141	1189971	48	73374	102	2271757	16494	8	1183	479468	0	0	0	0	0	0	0	0
trimmed_19101-0041_SmallRNA.fastq.fastq	15411808	0	214605	12034	0	2317	1768064	13414788	12806286	6211610	17	1064977	197	1573322	76	113949	127	2923154	21968	16	1841	608502	0	0	0	0	0	0	0	0
trimmed_19101-0042_SmallRNA.fastq.fastq	17023906	0	249076	15447	0	2487	1998340	14758556	14070877	6712058	19	1226882	231	1793617	72	120475	132	3273865	25795	14	2087	687679	0	0	0	0	0	0	0	0
trimmed_19101-0043_SmallRNA.fastq.fastq	14128371	0	191425	20333	0	2791	2418227	11495595	10906627	6054935	15	118117	2687	422710	92	180208	103	2581773	32052	16	469	588968	0	0	0	0	0	0	0	0
trimmed_19101-0044_SmallRNA.fastq.fastq	10743305	0	128714	9659	0	1689	1714671	8888572	8486322	5169958	6	110276	1224	386883	45	103877	86	1997274	24825	11	811	402250	0	0	0	0	0	0	0	0
trimmed_19101-0045_SmallRNA.fastq.fastq	15488234	0	192692	11278	0	2300	2707213	12574751	11979744	7371118	9	135274	1771	516274	65	135841	121	2825020	32654	8	975	595007	0	0	0	0	0	0	0	0
trimmed_19101-0046_SmallRNA.fastq.fastq	17505799	0	235832	10418	0	2802	3424830	13831917	13167852	8141281	4	28288	596	877357	72	187210	169	3163616	26461	6	504	664065	0	0	0	0	0	0	0	0
trimmed_19101-0047_SmallRNA.fastq.fastq	19428207	0	226854	8004	0	1520	4211077	14980752	14245482	8416477	6	28739	624	983685	151	235238	264	3665498	30903	11	611	735270	0	0	0	0	0	0	0	0
trimmed_19101-0048_SmallRNA.fastq.fastq	10648249	0	123878	2750	0	706	1619636	8901279	8543995	5654901	0	17566	330	437598	44	107475	128	1936727	11811	2	346	357284	0	0	0	0	0	0	0	0
trimmed_19101-0049_SmallRNA.fastq.fastq	11019535	0	141213	6631	0	1762	1914449	8955480	8523127	4048391	1	15825	250	823526	128	110268	134	3049602	19753	4	189	432353	0	0	0	0	0	0	0	0
trimmed_19101-0050_SmallRNA.fastq.fastq	16169853	0	180918	13961	0	1958	2771326	13201690	12566728	6072368	2	23927	358	1079752	207	155281	232	4323483	39975	18	363	634962	0	0	0	0	0	0	0	0
trimmed_19101-0051_SmallRNA.fastq.fastq	7925300	0	96447	5098	0	1328	1241054	6581373	6168862	3164635	6	11094	161	615689	61	73354	78	2020907	11749	4	144	412511	0	0	0	0	0	0	0	0
trimmed_19101-0052_SmallRNA.fastq.fastq	12424047	0	141441	6584	0	2013	1570453	10703556	10228067	6156537	1	18726	464	785446	80	110772	60	2623097	18015	8	389	475489	0	0	0	0	0	0	0	0
trimmed_19101-0053_SmallRNA.fastq.fastq	8681731	0	114591	3420	0	2020	918381	7643319	7291956	4584485	0	14476	278	556027	43	70310	36	1780613	10859	4	191	351363	0	0	0	0	0	0	0	0
trimmed_19101-0054_SmallRNA.fastq.fastq	8848922	0	109422	3690	0	2461	933512	7799837	7418158	4537079	3	18659	305	565636	41	68654	40	1935359	10044	4	184	381679	0	0	0	0	0	0	0	0
